par_id,p_age,p_word,type_of_probe,colour,prime_f,probe_f,acc,reaction_time,TrialN,stim,cos,UNIQUE_ID
1,31,TRIBE,UNREL,r,3.651952199,4.189781038,1,1029.7142857142858,2,22,0.169582503,tiuxfl
1,31,TOWER,REL,r,4.257983625,4.604307777,1,402.95,5,51,0.65194005,tiuxfl
1,31,GLIRM,NONCE,b,4.189108375,NA,1,1187.3,6,32,NA,tiuxfl
1,31,GELPS,NONCE,b,4.438372257,NA,1,1032.5,9,56,NA,tiuxfl
1,31,PAPER,REL,b,4.33783738,5.230293913,1,866.4,10,30,0.359043466,tiuxfl
1,31,QUIBS,NONCE,b,4.104575844,NA,1,994.1,11,2,NA,tiuxfl
1,31,POWER,REL,r,5.294762043,5.588746199,1,423.5,12,3,0.120705124,tiuxfl
1,31,GRAPH,REL,b,4.223689768,4.176312386,1,999.7,13,48,0.141363369,tiuxfl
1,31,NERNS,NONCE,r,3.563555912,NA,1,1115.1599999999999,17,59,NA,tiuxfl
1,31,STUMP,UNREL,r,5.075778593,3.413519289,1,971.2380952380952,18,10,0.055355864,tiuxfl
1,31,MAFTS,NONCE,b,3.671694735,NA,1,937,21,38,NA,tiuxfl
1,31,TUTOR,UNREL,b,3.001120593,3.930647709,1,1044.441,22,43,0.092758339,tiuxfl
1,31,ESSAY,REL,b,4.78505379,4.668647528,1,982.5,23,24,0.229238232,tiuxfl
1,31,TRUNK,UNREL,r,3.681799882,4.022054607,1,815.9047619047619,27,46,-3.5711e-5,tiuxfl
1,31,MODEM,UNREL,b,3.96226586,3.755853299,1,975.458,29,25,0.012195619,tiuxfl
1,31,YURFS,NONCE,b,3.672348826,NA,1,1033.3000000000002,30,50,NA,tiuxfl
1,31,BROOM,REL,r,4.064504628,3.354276001,1,542.05,34,27,0.363666985,tiuxfl
1,31,DOOPS,NONCE,r,2.794650654,NA,1,1218.84,37,23,NA,tiuxfl
1,31,SHARK,UNREL,r,3.087558969,3.929769388,1,730.2857142857143,41,16,0.095724535,tiuxfl
1,31,BOARD,REL,b,5.617442386,5.350430177,1,836.7,43,42,0.291918533,tiuxfl
1,31,STAGE,REL,b,3.927682114,5.108336861,1,832.2,44,6,0.581022535,tiuxfl
1,31,RADAR,UNREL,r,2.761427779,4.205675385,1,840.5714285714286,45,34,0.042865261,tiuxfl
1,31,GELKS,NONCE,r,3.583221526,NA,1,1201.2,46,35,NA,tiuxfl
1,31,FLERG,NONCE,r,4.382518198,NA,1,1100.52,48,11,NA,tiuxfl
1,31,BESKS,NONCE,b,3.485497116,NA,1,1013.6,52,26,NA,tiuxfl
1,31,YOUTH,UNREL,b,4.216284055,4.938331983,1,811.939,53,31,0.110552167,tiuxfl
1,31,BASIL,UNREL,r,3.296803811,3.689125491,1,822.4761904761905,54,40,0.137191468,tiuxfl
1,31,GLOMP,NONCE,r,3.949644483,NA,1,1156.32,56,41,NA,tiuxfl
1,31,GUEST,REL,b,2.442833304,4.677271228,1,850.3,58,60,0.469866532,tiuxfl
1,31,PIANO,UNREL,b,3.496627781,4.453364025,1,864.8629999999999,59,19,0.066770659,tiuxfl
1,31,BERRY,UNREL,r,4.510372539,3.930373842,1,699.4285714285714,61,58,0.410938427,tiuxfl
1,31,DRAIN,REL,r,3.407217937,4.147611827,1,774,65,21,0.387145282,tiuxfl
1,31,YULBS,NONCE,r,3.223196377,NA,1,1097.1599999999999,67,47,NA,tiuxfl
1,31,SLANG,UNREL,b,4.141850119,3.39835149,1,1033.3310000000001,68,7,0.049636608,tiuxfl
1,31,BRIDE,UNREL,b,3.570916411,3.990911755,1,790.2239999999999,69,55,0.039438298,tiuxfl
1,31,GLOBE,UNREL,r,3.506495478,4.416076472,1,774.4761904761905,74,52,0.282091996,tiuxfl
1,31,ALARM,UNREL,b,3.659160937,4.273577104,1,1411.374,75,49,0.146049347,tiuxfl
1,31,DWERT,NONCE,b,3.331052745,NA,1,970.4,77,14,NA,tiuxfl
1,31,OLIVE,UNREL,b,4.870998895,4.138893633,1,873.246,78,13,0.046719131,tiuxfl
1,31,CADET,UNREL,b,4.054597373,3.463204461,1,789.1129999999999,81,1,0.239131041,tiuxfl
1,31,NULSE,NONCE,r,3.590390365,NA,1,1117.32,82,17,NA,tiuxfl
1,31,BONUS,REL,b,5.005747312,4.515522967,1,819.6999999999999,83,18,0.125759944,tiuxfl
1,31,STUNT,UNREL,r,3.734240866,3.567262547,1,712.2857142857142,84,4,0.101478916,tiuxfl
1,31,DIRPS,NONCE,r,3.316655402,NA,1,1062.48,85,5,NA,tiuxfl
1,31,DAIRY,REL,r,2.459390987,4.20061812,1,401.05,86,57,0.241572992,tiuxfl
1,31,BRICK,REL,r,4.042783642,4.255257406,1,391.6,87,9,0.647438362,tiuxfl
1,31,PLANT,REL,r,3.541556206,5.026411782,1,373.25,90,45,0.501397476,tiuxfl
1,31,INDEX,UNREL,r,3.571960851,4.74479794,1,746.5714285714287,91,28,0.069182129,tiuxfl
1,31,BRURL,NONCE,b,4.166816978,NA,1,1052.2,93,20,NA,tiuxfl
1,31,WHEEL,REL,r,3.784228166,4.550270351,1,423.04999999999995,97,39,0.656811439,tiuxfl
1,31,NIRCH,NONCE,r,3.827345184,NA,1,997.44,102,53,NA,tiuxfl
1,31,HORSE,REL,r,3.484128918,4.713931387,1,391.15,103,15,0.821285068,tiuxfl
1,31,STAFF,REL,b,4.460251055,5.302678942,1,751.1,107,12,0.365606156,tiuxfl
